Company;Symbol;NAICS_Level_2_Code;NAICS_Level_2_Subsector_Title
Goldman Sachs Group Inc.;GS;523;Securities, Commodity Contracts, and Other Financial Investments
Nextra Energy, Inc.;NEE;221;Utilities
Intuitive Surgical Inc.;ISRG;339;Miscellaneous Manufacturing
Comcast Corp;CMCSA;517;Telecommunications
S&p Global Inc.;SPGI;519;Other Information Services
Rtx Corporation;RTX;336;Transportation Equipment Manufacturing
Union Pacific Corp.;UNP;482;Rail Transportation
American Express Company;AXP;522;Credit Intermediation and Related Activities
At&t Inc.;T;517;Telecommunications
Lowe's Companies Inc.;LOW;444;Building Material and Garden Equipment and Supplies Dealers
Honeywell International, Inc.;HON;334;Computer and Electronic Product Manufacturing
Vertex Pharmaceuticals Inc;VRTX;325;Chemical Manufacturing
Tjx Companies, Inc.;TJX;448;Clothing and Clothing Accessories Stores
Morgan Stanley;MS;523;Securities, Commodity Contracts, and Other Financial Investments
Uber Technologies, Inc.;UBER;485;Transit and Ground Passenger Transportation
Conocophillips;COP;211;Oil and Gas Extraction
Progressive Corporation;PGR;524;Insurance Carriers and Related Activities
Booking Holdings Inc.;BKNG;561;Administrative and Support Services
Elevance Health, Inc.;ELV;524;Insurance Carriers and Related Activities
Intel Corp;INTC;334;Computer and Electronic Product Manufacturing
Blackrock, Inc.;BLK;523;Securities, Commodity Contracts, and Other Financial Investments
Citigroup Inc.;C;522;Credit Intermediation and Related Activities
Eaton Corporation, Plcs;ETN;335;Electrical Equipment, Appliance, and Component Manufacturing
Prologis, Inc.;PLD;531;Real Estate
Lockheed Martin Corp.;LMT;336;Transportation Equipment Manufacturing
Regeneron Pharmaceuticals Inc;REGN;325;Chemical Manufacturing
Stryker Corporation;SYK;339;Miscellaneous Manufacturing
Micron Technology, Inc.;MU;334;Computer and Electronic Product Manufacturing
Marsh & Mclennan Companies, Inc.;MMC;524;Insurance Carriers and Related Activities
Chubb Limited;CB;524;Insurance Carriers and Related Activities
Boston Scientific Corp.;BSX;339;Miscellaneous Manufacturing
Analog Devices, Inc.;ADI;334;Computer and Electronic Product Manufacturing
Lam Research Corp;LRCX;333;Machinery Manufacturing
Medtronic Plc;MDT;339;Miscellaneous Manufacturing
Automatic Data Processing;ADP;518;Data Processing, Hosting, and Related Services
American Tower Corporation;AMT;531;Real Estate
Boeing Company;BA;336;Transportation Equipment Manufacturing
Palo Alto Networks, Inc.;PANW;511;Publishing Industries (except Internet)
Kla Corporation;KLAC;334;Computer and Electronic Product Manufacturing
Bristol-Myers Squibb Co.;BMY;325;Chemical Manufacturing
Blackstone Inc.;BX;523;Securities, Commodity Contracts, and Other Financial Investments
T-Mobile Us, Inc.;TMUS;517;Telecommunications
The Southern Company;SO;221;Utilities
Gilead Sciences Inc;GILD;325;Chemical Manufacturing
The Charles Schwab Corporation;SCHW;523;Securities, Commodity Contracts, and Other Financial Investments
United Parcel Service, Inc. Class B;UPS;492;Couriers and Messengers
The Cigna Group;CI;524;Insurance Carriers and Related Activities
Fiserv, Inc.;FI;522;Credit Intermediation and Related Activities
Deere & Company;DE;333;Machinery Manufacturing
Mondelez International, Inc. Class A;MDLZ;311;Food Manufacturing
Nike, Inc.;NKE;315;Apparel Manufacturing
Duke Energy Corporation;DUK;221;Utilities
Intercontinental Exchange Inc.;ICE;523;Securities, Commodity Contracts, and Other Financial Investments
Altria Group, Inc.;MO;312;Beverage and Tobacco Product Manufacturing
Arista Networks;ANET;334;Computer and Electronic Product Manufacturing
Starbucks Corp;SBUX;722;Food Services and Drinking Places
Colgate-Palmolive Company;CL;325;Chemical Manufacturing
Zoetis Inc.;ZTS;325;Chemical Manufacturing
Synopsys Inc;SNPS;511;Publishing Industries (except Internet)
Mckesson Corporation;MCK;424;Merchant Wholesalers, Nondurable Goods
The Sherwin-Williams Company;SHW;325;Chemical Manufacturing
Kkr & Co. Inc.;KKR;523;Securities, Commodity Contracts, and Other Financial Investments
Equinix, Inc. Reit;EQIX;531;Real Estate
Cvs Health Corporation;CVS;446;Health and Personal Care Stores
Waste Management, Inc.;WM;562;Waste Management and Remediation Services
Trane Technologies Plc;TT;333;Machinery Manufacturing
Amphenol Corporation;APH;334;Computer and Electronic Product Manufacturing
Chipotle Mexican Grill, Inc.;CMG;722;Food Services and Drinking Places
Moody's Corporation;MCO;519;Other Information Services
Aon Plc Class A;AON;524;Insurance Carriers and Related Activities
Cadence Design Systems;CDNS;511;Publishing Industries (except Internet)
Eog Resources, Inc.;EOG;211;Oil and Gas Extraction
Cme Group Inc.;CME;523;Securities, Commodity Contracts, and Other Financial Investments
Hca Healthcare, Inc.;HCA;622;Hospitals
Transdigm Group Incorporated;TDG;336;Transportation Equipment Manufacturing
Pnc Financial Services Group;PNC;522;Credit Intermediation and Related Activities
3m Company;MMM;339;Miscellaneous Manufacturing
Parker-Hannifin Corporation;PH;333;Machinery Manufacturing
Northrop Grumman Corp.;NOC;336;Transportation Equipment Manufacturing
Becton, Dickinson and Co.;BDX;339;Miscellaneous Manufacturing
Paypal Holdings, Inc.;PYPL;522;Credit Intermediation and Related Activities
Csx Corporation;CSX;482;Rail Transportation
Target Corporation;TGT;452;General Merchandise Stores
U.S. Bancorp;USB;522;Credit Intermediation and Related Activities
Fedex Corporation;FDX;492;Couriers and Messengers
Welltower Inc.;WELL;531;Real Estate
O'reilly Automotive, Inc.;ORLY;441;Motor Vehicle and Parts Dealers
Schlumberger Limited;SLB;213;Support Activities for Mining
General Dynamics Corporation;GD;336;Transportation Equipment Manufacturing
Motorola Solutions, Inc.;MSI;334;Computer and Electronic Product Manufacturing
Illinois Tool Works Inc.;ITW;333;Machinery Manufacturing
Cintas Corp;CTAS;811;Repair and Maintenance
Emerson Electric Co.;EMR;335;Electrical Equipment, Appliance, and Component Manufacturing
Air Products & Chemicals, Inc.;APD;325;Chemical Manufacturing
Freeport-Mcmoran Inc.;FCX;212;Mining (except Oil and Gas)
Nxp Semiconductors N.v.;NXPI;334;Computer and Electronic Product Manufacturing
Arthur J. Gallagher & Co.;AJG;524;Insurance Carriers and Related Activities
Marathon Petroleum Corporation;MPC;324;Petroleum and Coal Products Manufacturing
Ecolab, Inc.;ECL;325;Chemical Manufacturing
Phillips 66;PSX;324;Petroleum and Coal Products Manufacturing
Airbnb, Inc. Class A;ABNB;561;Administrative and Support Services
Roper Technologies, Inc.;ROP;511;Publishing Industries (except Internet)
Truist Financial Corporation;TFC;522;Credit Intermediation and Related Activities
Newmont Corporation;NEM;212;Mining (except Oil and Gas)
Constellation Energy Corporation;CEG;221;Utilities
Norfolk Southern Corp.;NSC;482;Rail Transportation
Carrier Global Corporation;CARR;333;Machinery Manufacturing
Capital One Financial;COF;522;Credit Intermediation and Related Activities
Autozone, Inc.;AZO;441;Motor Vehicle and Parts Dealers
D.R. Horton Inc.;DHI;236;Construction of Buildings
American Electric Power Company, Inc.;AEP;221;Utilities
Aflac Inc.;AFL;524;Insurance Carriers and Related Activities
Williams Companies Inc.;WMB;486;Pipeline Transportation
Marriot International Class A;MAR;721;Accommodation
Crowdstrike Holdings, Inc. Class A;CRWD;511;Publishing Industries (except Internet)
Autodesk Inc;ADSK;511;Publishing Industries (except Internet)
Hilton Worldwide Holdings Inc.;HLT;721;Accommodation
Sempra;SRE;221;Utilities
Valero Energy Corporation;VLO;324;Petroleum and Coal Products Manufacturing
Realty Income Corporation;O;531;Real Estate
Paccar Inc;PCAR;336;Transportation Equipment Manufacturing
Simon Property Group, Inc.;SPG;531;Real Estate
American International Group, Inc.;AIG;524;Insurance Carriers and Related Activities
General Motors Company;GM;336;Transportation Equipment Manufacturing
Digital Realty Trust, Inc.;DLR;531;Real Estate
Crown Castle Inc.;CCI;531;Real Estate
The Travelers Companies, Inc.;TRV;524;Insurance Carriers and Related Activities
Bank of New York Mellon Corporation;BK;522;Credit Intermediation and Related Activities
Ross Stores Inc;ROST;448;Clothing and Clothing Accessories Stores
United Rentals, Inc.;URI;532;Rental and Leasing Services
Oneok, Inc.;OKE;486;Pipeline Transportation
Public Storage;PSA;531;Real Estate
Ge Vernova Inc.;GEV;333;Machinery Manufacturing
Kimberly-Clark Corp.;KMB;322;Paper Manufacturing
Johnson Controls International Plc;JCI;334;Computer and Electronic Product Manufacturing
The Allstate Corporation;ALL;524;Insurance Carriers and Related Activities
Dominion Energy, Inc.;D;221;Utilities
Te Connectivity Ltd;TEL;334;Computer and Electronic Product Manufacturing
Microchip Technology Inc;MCHP;334;Computer and Electronic Product Manufacturing
Iqvia Holdings Inc.;IQV;541;Professional, Scientific, and Technical Services
Copart Inc;CPRT;441;Motor Vehicle and Parts Dealers
Metlife, Inc.;MET;524;Insurance Carriers and Related Activities
Prudential Financial, Inc.;PRU;524;Insurance Carriers and Related Activities
Lennar Corporation Class A;LEN;236;Construction of Buildings
L3harris Technologies, Inc.;LHX;336;Transportation Equipment Manufacturing
Msci, Inc.;MSCI;519;Other Information Services
Humana Inc.;HUM;524;Insurance Carriers and Related Activities
Ameriprise Financial, Inc.;AMP;523;Securities, Commodity Contracts, and Other Financial Investments
Agilent Technologies Inc.;A;334;Computer and Electronic Product Manufacturing
Fidelity National Information Services, Inc.;FIS;522;Credit Intermediation and Related Activities
Ford Motor Company;F;336;Transportation Equipment Manufacturing
Cummins Inc.;CMI;336;Transportation Equipment Manufacturing
Centene Corporation;CNC;524;Insurance Carriers and Related Activities
W.W. Grainger, Inc.;GWW;423;Merchant Wholesalers, Durable Goods
Kinder Morgan, Inc.;KMI;486;Pipeline Transportation
Paychex Inc;PAYX;541;Professional, Scientific, and Technical Services
Cencora, Inc.;COR;424;Merchant Wholesalers, Nondurable Goods
Republic Services Inc.;RSG;562;Waste Management and Remediation Services
Public Service Enterprise Group Incorporated;PEG;221;Utilities
Idexx Laboratories Inc;IDXX;541;Professional, Scientific, and Technical Services
Constellation Brands, Inc.;STZ;312;Beverage and Tobacco Product Manufacturing
Pg&e Corporation;PCG;221;Utilities
Occidental Petroleum Corporation;OXY;211;Oil and Gas Extraction
Fair Isaac Corporation;FICO;511;Publishing Industries (except Internet)
Hess Corporation;HES;211;Oil and Gas Extraction
Fastenal Co;FAST;423;Merchant Wholesalers, Durable Goods
General Mills, Inc.;GIS;311;Food Manufacturing
Gartner, Inc.;IT;541;Professional, Scientific, and Technical Services
Otis Worldwide Corporation;OTIS;333;Machinery Manufacturing
Cognizant Technology Solutions;CTSH;541;Professional, Scientific, and Technical Services
Exelon Corporation;EXC;221;Utilities
Baker Hughes Company;BKR;333;Machinery Manufacturing
Yum! Brands, Inc.;YUM;722;Food Services and Drinking Places
Sysco Corporation;SYY;424;Merchant Wholesalers, Nondurable Goods
Monolithic Power Systems, Inc.;MPWR;334;Computer and Electronic Product Manufacturing
Edwards Lifesciences Corp;EW;339;Miscellaneous Manufacturing
Dow Inc.;DOW;325;Chemical Manufacturing
Nucor Corporation;NUE;331;Primary Metal Manufacturing
Corteva, Inc.;CTVA;325;Chemical Manufacturing
Verisk Analytics, Inc.;VRSK;541;Professional, Scientific, and Technical Services
Charter Comm Inc Del Cl a;CHTR;517;Telecommunications
Howmet Aerospace Inc.;HWM;336;Transportation Equipment Manufacturing
Quanta Services, Inc.;PWR;238;Specialty Trade Contractors
Ingersoll Rand Inc.;IR;333;Machinery Manufacturing
Ametek, Inc.;AME;334;Computer and Electronic Product Manufacturing
Fortinet, Inc.;FTNT;511;Publishing Industries (except Internet)
Monster Beverage Corporation;MNST;312;Beverage and Tobacco Product Manufacturing
Old Dominion Freight Line;ODFL;484;Truck Transportation
Electronic Arts Inc;EA;511;Publishing Industries (except Internet)
Martin Marietta Materials;MLM;212;Mining (except Oil and Gas)
The Kroger Co.;KR;445;Food and Beverage Stores
Arch Capital Group Ltd;ACGL;524;Insurance Carriers and Related Activities
Vulcan Materials Company;VMC;212;Mining (except Oil and Gas)
Keurig Dr Pepper Inc.;KDP;312;Beverage and Tobacco Product Manufacturing
Kenvue Inc.;KVUE;325;Chemical Manufacturing
Diamondback Energy, Inc.;FANG;211;Oil and Gas Extraction
Ge Healthcare Technologies Inc.;GEHC;334;Computer and Electronic Product Manufacturing
Royal Caribbean Group;RCL;483;Water Transportation
Equifax, Incorporated;EFX;561;Administrative and Support Services
Consolidated Edison, Inc.;ED;221;Utilities
Dupont De Nemours, Inc.;DD;325;Chemical Manufacturing
Discover Financial Services;DFS;522;Credit Intermediation and Related Activities
Super Micro Computer, Inc.;SMCI;334;Computer and Electronic Product Manufacturing
Extra Space Storage, Inc.;EXR;531;Real Estate
Cbre Group, Inc.;CBRE;531;Real Estate
The Hartford Financial Services Group, Inc.;HIG;524;Insurance Carriers and Related Activities
Mettler-Toledo International;MTD;334;Computer and Electronic Product Manufacturing
Xcel Energy, Inc.;XEL;221;Utilities
Vici Properties Inc.;VICI;531;Real Estate
Iron Mountain Inc.;IRM;493;Warehousing and Storage
Xylem Inc;XYL;333;Machinery Manufacturing
Resmed Inc.;RMD;339;Miscellaneous Manufacturing
Costar Group Inc;CSGP;519;Other Information Services
Edison International;EIX;221;Utilities
Moderna, Inc.;MRNA;325;Chemical Manufacturing
On Semiconductor Corp;ON;334;Computer and Electronic Product Manufacturing
Corning Incorporated;GLW;327;Nonmetallic Mineral Product Manufacturing
Hp Inc.;HPQ;334;Computer and Electronic Product Manufacturing
Biogen Inc.;BIIB;325;Chemical Manufacturing
Rockwell Automation, Inc.;ROK;334;Computer and Electronic Product Manufacturing
Targa Resources Corp.;TRGP;486;Pipeline Transportation
Avalonbay Communities, Inc.;AVB;531;Real Estate
Archer Daniels Midland Company;ADM;311;Food Manufacturing
Halliburton Company;HAL;213;Support Activities for Mining
Ppg Industries, Inc.;PPG;325;Chemical Manufacturing
Willis Towers Watson Public Limited Companys;WTW;524;Insurance Carriers and Related Activities
Devon Energy Corporation;DVN;211;Oil and Gas Extraction
The Hershey Company;HSY;311;Food Manufacturing
Lululemon Athletica Inc.;LULU;448;Clothing and Clothing Accessories Stores
Cdw Corporation;CDW;423;Merchant Wholesalers, Durable Goods
Ebay Inc;EBAY;454;Nonstore Retailers
The Kraft Heinz Company;KHC;311;Food Manufacturing
American Water Works Company, Inc;AWK;221;Utilities
Wec Energy Group, Inc.;WEC;221;Utilities
Dexcom, Inc.;DXCM;334;Computer and Electronic Product Manufacturing
Nasdaq, Inc.;NDAQ;523;Securities, Commodity Contracts, and Other Financial Investments
Fifth Third Bancorp;FITB;522;Credit Intermediation and Related Activities
M&t Bank Corp.;MTB;522;Credit Intermediation and Related Activities
Tractor Supply Co;TSCO;444;Building Material and Garden Equipment and Supplies Dealers
Pultegroup, Inc.;PHM;236;Construction of Buildings
Nvr, Inc.;NVR;236;Construction of Buildings
Wabtec Inc.;WAB;336;Transportation Equipment Manufacturing
Ansys Inc;ANSS;511;Publishing Industries (except Internet)
Delta Air Lines, Inc.;DAL;481;Air Transportation
Dollar General Corp.;DG;452;General Merchandise Stores
Garmin Ltd;GRMN;334;Computer and Electronic Product Manufacturing
Entergy Corporation;ETR;221;Utilities
Dte Energy Company;DTE;221;Utilities
Netapp, Inc;NTAP;334;Computer and Electronic Product Manufacturing
Broadridge Financial Solutions Inc;BR;541;Professional, Scientific, and Technical Services
Cardinal Health, Inc.;CAH;424;Merchant Wholesalers, Nondurable Goods
International Flavors & Fragrances Inc.;IFF;325;Chemical Manufacturing
State Street Corporation;STT;523;Securities, Commodity Contracts, and Other Financial Investments
Dover Corporation;DOV;333;Machinery Manufacturing
Global Payments, Inc.;GPN;522;Credit Intermediation and Related Activities
T Rowe Price Group Inc;TROW;523;Securities, Commodity Contracts, and Other Financial Investments
Lyondellbasell Industries N.v. Class A;LYB;325;Chemical Manufacturing
Vistra Corp.;VST;221;Utilities
Fortive Corporation;FTV;334;Computer and Electronic Product Manufacturing
Sba Communications Corp;SBAC;531;Real Estate
Church & Dwight Co., Inc.;CHD;325;Chemical Manufacturing
Hewlett Packard Enterprise Company;HPE;334;Computer and Electronic Product Manufacturing
Equity Residential;EQR;531;Real Estate
Steris Plc;STE;339;Miscellaneous Manufacturing
Tyler Technologies, Inc.;TYL;511;Publishing Industries (except Internet)
Brown & Brown, Inc.;BRO;524;Insurance Carriers and Related Activities
Veralto Corporation;VLTO;334;Computer and Electronic Product Manufacturing
First Solar, Inc;FSLR;334;Computer and Electronic Product Manufacturing
Weyerhaeuser Company;WY;113;Forestry and Logging
Deckers Outdoor Corp;DECK;316;Leather and Allied Product Manufacturing
Zimmer Biomet Holdings, Inc.;ZBH;339;Miscellaneous Manufacturing
Keysight Technologies, Inc.;KEYS;334;Computer and Electronic Product Manufacturing
Eversource Energy;ES;221;Utilities
Take-Two Interactive Software Inc;TTWO;511;Publishing Industries (except Internet)
The Estee Lauder Companies Inc. Class A;EL;325;Chemical Manufacturing
West Pharmaceutical Services, Inc.;WST;326;Plastics and Rubber Products Manufacturing
Ppl Corporation;PPL;221;Utilities
Ventas, Inc.;VTR;531;Real Estate
Firstenergy Corp.;FE;221;Utilities
Smurfit Westrock Plc;SW;322;Paper Manufacturing
Axon Enterprise, Inc.;AXON;332;Fabricated Metal Product Manufacturing
Raymond James Financial, Inc.;RJF;523;Securities, Commodity Contracts, and Other Financial Investments
Ameren Corporation;AEE;221;Utilities
Ptc, Inc;PTC;511;Publishing Industries (except Internet)
Waters Corp;WAT;334;Computer and Electronic Product Manufacturing
Dollar Tree Inc.;DLTR;452;General Merchandise Stores
Huntington Bancshares Inc;HBAN;522;Credit Intermediation and Related Activities
Invitation Homes Inc.;INVH;531;Real Estate
Cincinnati Financial Corp;CINF;524;Insurance Carriers and Related Activities
Hubbell Incorporated;HUBB;335;Electrical Equipment, Appliance, and Component Manufacturing
Ball Corporation;BALL;332;Fabricated Metal Product Manufacturing
Molina Healthcare, Inc.;MOH;524;Insurance Carriers and Related Activities
Genuine Parts Company;GPC;423;Merchant Wholesalers, Durable Goods
Corpay, Inc.;CPAY;522;Credit Intermediation and Related Activities
Regions Financial Corp.;RF;522;Credit Intermediation and Related Activities
Godaddy Inc;GDDY;518;Data Processing, Hosting, and Related Services
Aptiv Plc;APTV;336;Transportation Equipment Manufacturing
Synchrony Financial;SYF;522;Credit Intermediation and Related Activities
Eqt Corp;EQT;211;Oil and Gas Extraction
Labcorp Holdings Inc.;LH;621;Ambulatory Health Care Services
Leidos Holdings, Inc.;LDOS;541;Professional, Scientific, and Technical Services
Teledyne Technologies Incorporated;TDY;334;Computer and Electronic Product Manufacturing
Builders Firstsource, Inc.;BLDR;423;Merchant Wholesalers, Durable Goods
Mccormick & Company, Incorporated Non-Vtg Cs;MKC;311;Food Manufacturing
Cboe Global Markets, Inc.;CBOE;523;Securities, Commodity Contracts, and Other Financial Investments
Hologic Inc;HOLX;334;Computer and Electronic Product Manufacturing
Western Digital Corp.;WDC;334;Computer and Electronic Product Manufacturing
Atmos Energy Corporation;ATO;221;Utilities
Cms Energy Corporation;CMS;221;Utilities
Seagate Technology Holdings Plcs;STX;334;Computer and Electronic Product Manufacturing
Coterra Energy Inc.;CTRA;211;Oil and Gas Extraction
Citizens Financial Group, Inc.;CFG;522;Credit Intermediation and Related Activities
Omnicom Group Inc.;OMC;541;Professional, Scientific, and Technical Services
Steel Dynamics Inc;STLD;331;Primary Metal Manufacturing
The Cooper Companies, Inc.;COO;339;Miscellaneous Manufacturing
Teradyne, Inc.;TER;334;Computer and Electronic Product Manufacturing
Warner Bros. Discovery, Inc. Series a;WBD;512;Motion Picture and Sound Recording Industries
Essex Property Trust, Inc;ESS;531;Real Estate
Jacobs Solutions Inc.;J;541;Professional, Scientific, and Technical Services
Baxter International Inc.;BAX;339;Miscellaneous Manufacturing
Northern Trust Corp;NTRS;522;Credit Intermediation and Related Activities
Alexandria Real Estate Equities, Inc.;ARE;531;Real Estate
Expeditors International of Washington, Inc.;EXPD;488;Support Activities for Transportation
Centerpoint Energy, Inc.;CNP;221;Utilities
Packaging Corp of America;PKG;322;Paper Manufacturing
Textron, Inc.;TXT;336;Transportation Equipment Manufacturing
Zebra Technologies Corporation;ZBRA;334;Computer and Electronic Product Manufacturing
Darden Restaurants, Inc.;DRI;722;Food Services and Drinking Places
Principal Financial Group, Inc.;PFG;524;Insurance Carriers and Related Activities
Tyson Foods, Inc.;TSN;311;Food Manufacturing
Avery Dennison Corp.;AVY;322;Paper Manufacturing
Skyworks Solutions Inc;SWKS;334;Computer and Electronic Product Manufacturing
Ulta Beauty, Inc.;ULTA;446;Health and Personal Care Stores
Mid-America Apartment Communities, Inc.;MAA;531;Real Estate
W.R. Berkley Corporation;WRB;524;Insurance Carriers and Related Activities
Verisign Inc;VRSN;518;Data Processing, Hosting, and Related Services
Masco Corporation;MAS;332;Fabricated Metal Product Manufacturing
Clorox Company;CLX;325;Chemical Manufacturing
Best Buy Company, Inc.;BBY;443;Electronics and Appliance Stores
Quest Diagnostics Inc.;DGX;541;Professional, Scientific, and Technical Services
Kellanova;K;311;Food Manufacturing
Align Technology Inc;ALGN;339;Miscellaneous Manufacturing
International Paper Co.;IP;322;Paper Manufacturing
Everest Group, Ltd.;EG;524;Insurance Carriers and Related Activities
Carnival Corporation;CCL;483;Water Transportation
Southwest Airlines Co.;LUV;481;Air Transportation
Stanley Black & Decker, Inc.;SWK;332;Fabricated Metal Product Manufacturing
Factset Research Systems;FDS;519;Other Information Services
Marathon Oil Corporation;MRO;211;Oil and Gas Extraction
Revvity, Inc.;RVTY;334;Computer and Electronic Product Manufacturing
Expedia Group, Inc.;EXPE;561;Administrative and Support Services
Healthpeak Properties, Inc.;DOC;531;Real Estate
Nrg Energy, Inc.;NRG;221;Utilities
Amcor Plcs;AMCR;326;Plastics and Rubber Products Manufacturing
Enphase Energy, Inc.;ENPH;334;Computer and Electronic Product Manufacturing
Bunge Global Sa;BG;311;Food Manufacturing
Domino's Pizza Inc.;DPZ;722;Food Services and Drinking Places
Idex Corporation;IEX;333;Machinery Manufacturing
Snap-on Incorporated;SNA;332;Fabricated Metal Product Manufacturing
Kimco Realty Corp.;KIM;531;Real Estate
Loews Corporation;L;524;Insurance Carriers and Related Activities
Akamai Technologies Inc;AKAM;518;Data Processing, Hosting, and Related Services
Conagra Brands, Inc.;CAG;311;Food Manufacturing
Viatris Inc.;VTRS;325;Chemical Manufacturing
Alliant Energy Corporation;LNT;221;Utilities
Keycorp;KEY;522;Credit Intermediation and Related Activities
Nisource Inc.;NI;221;Utilities
Gen Digital Inc.;GEN;511;Publishing Industries (except Internet)
Las Vegas Sands Corp.;LVS;721;Accommodation
Pool Corporation;POOL;423;Merchant Wholesalers, Durable Goods
Pentair Plc;PNR;333;Machinery Manufacturing
United Airlines Holdings, Inc.;UAL;481;Air Transportation
Cf Industries Holding, Inc.;CF;325;Chemical Manufacturing
Insulet Corporation;PODD;339;Miscellaneous Manufacturing
Evergy, Inc.;EVRG;221;Utilities
Jb Hunt Transport Services Inc;JBHT;484;Truck Transportation
Celanese Corporation;CE;325;Chemical Manufacturing
Rollins, Inc.;ROL;561;Administrative and Support Services
Live Nation Entertainment Inc.;LYV;711;Performing Arts, Spectator Sports, and Related Industries
Jabil Inc.;JBL;334;Computer and Electronic Product Manufacturing
Universal Health Services, Inc. Class B;UHS;622;Hospitals
Nordson Corp;NDSN;333;Machinery Manufacturing
Trimble Inc.;TRMB;334;Computer and Electronic Product Manufacturing
Bio-Techne Corp.;TECH;325;Chemical Manufacturing
Carmax Inc.;KMX;441;Motor Vehicle and Parts Dealers
Charles River Laboratories International, Inc.;CRL;541;Professional, Scientific, and Technical Services
Udr, Inc.;UDR;531;Real Estate
Henry (Jack) & Associates;JKHY;541;Professional, Scientific, and Technical Services
Epam Systems, Inc.;EPAM;541;Professional, Scientific, and Technical Services
The J.M. Smucker Company;SJM;311;Food Manufacturing
Camden Property Trust;CPT;531;Real Estate
Juniper Networks Inc;JNPR;334;Computer and Electronic Product Manufacturing
Eastman Chemical Company;EMN;325;Chemical Manufacturing
Aes Corporation;AES;221;Utilities
C.H. Robinson Worldwide, Inc.;CHRW;488;Support Activities for Transportation
The Interpublic Group of Companies, Inc.;IPG;541;Professional, Scientific, and Technical Services
Host Hotels & Resorts, Inc.;HST;531;Real Estate
Allegion Public Limited Company;ALLE;332;Fabricated Metal Product Manufacturing
F5, Inc.;FFIV;511;Publishing Industries (except Internet)
Regency Centers Corporation;REG;531;Real Estate
Apa Corporation;APA;211;Oil and Gas Extraction
Teleflex Incorporated;TFX;339;Miscellaneous Manufacturing
